Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 18-Nov-2022 at 16:43:05.
BModes analysis to support NuMAD to FAST Blade using PreComp                                       
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  10 modes printed


 -------- Mode No.   1  (freq = 0.57001E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.7336	-0.043524	-0.150366	-0.003262	-0.009880	 0.038786
 0.7527	-0.046366	-0.155250	-0.003447	-0.010039	 0.040702
 0.7717	-0.049297	-0.160046	-0.003635	-0.010162	 0.042470
 0.8000	-0.053812	-0.166895	-0.003917	-0.010287	 0.044741
 0.8187	-0.056901	-0.171389	-0.004106	-0.010364	 0.046431
 0.8375	-0.060085	-0.175906	-0.004296	-0.010464	 0.048783
 0.8562	-0.063338	-0.180284	-0.004488	-0.010535	 0.050989
 0.8750	-0.066683	-0.184415	-0.004682	-0.010581	 0.053053
 0.8938	-0.070085	-0.188166	-0.004875	-0.010604	 0.054941
 0.9125	-0.073553	-0.191573	-0.005069	-0.010610	 0.056647
 0.9313	-0.077096	-0.194704	-0.005263	-0.010600	 0.058163
 0.9500	-0.080677	-0.197439	-0.005456	-0.010581	 0.059446
 0.9750	-0.085536	-0.199982	-0.005714	-0.010555	 0.060710
 0.9872	-0.087908	-0.200579	-0.005839	-0.010547	 0.061044
 0.9936	-0.089162	-0.200699	-0.005905	-0.010545	 0.061132
 0.9979	-0.089997	-0.200723	-0.005949	-0.010545	 0.061162
 1.0000	-0.090416	-0.200726	-0.005971	-0.010545	 0.061169


 -------- Mode No.   2  (freq = 0.64606E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0200	 0.000001	 0.000091	-0.000012	-0.001198	 0.000000
 0.0400	 0.000004	 0.000191	-0.000048	-0.002498	-0.000001
 0.0600	 0.000008	 0.000295	-0.000111	-0.003938	-0.000001
 0.0800	 0.000015	 0.000398	-0.000204	-0.005609	-0.000002
 0.1000	 0.000024	 0.000491	-0.000333	-0.007600	-0.000002
 0.1250	 0.000037	 0.000600	-0.000557	-0.010731	-0.000004
 0.1500	 0.000054	 0.000758	-0.000868	-0.014803	-0.000007
 0.1691	 0.000069	 0.000947	-0.001178	-0.018561	-0.000012
 0.1880	 0.000089	 0.001213	-0.001562	-0.022889	-0.000019
 0.2071	 0.000115	 0.001560	-0.002034	-0.027875	-0.000031
 0.2261	 0.000148	 0.001949	-0.002602	-0.033271	-0.000051
 0.2451	 0.000187	 0.002307	-0.003267	-0.038507	-0.000078
 0.2661	 0.000238	 0.002678	-0.004111	-0.044145	-0.000118
 0.2870	 0.000297	 0.003058	-0.005071	-0.049820	-0.000178
 0.3080	 0.000363	 0.003425	-0.006144	-0.055214	-0.000247
 0.3288	 0.000436	 0.003783	-0.007319	-0.060320	-0.000325
 0.3509	 0.000522	 0.004169	-0.008678	-0.065578	-0.000420
 0.3730	 0.000616	 0.004568	-0.010144	-0.070720	-0.000528
 0.3950	 0.000719	 0.004981	-0.011719	-0.075739	-0.000649
 0.4171	 0.000830	 0.005417	-0.013402	-0.080722	-0.000784
 0.4391	 0.000952	 0.005879	-0.015193	-0.085786	-0.000931
 0.4589	 0.001069	 0.006320	-0.016889	-0.090413	-0.001075
 0.4785	 0.001195	 0.006791	-0.018669	-0.095154	-0.001235
 0.4983	 0.001331	 0.007294	-0.020548	-0.100039	-0.001411
 0.5180	 0.001476	 0.007822	-0.022514	-0.105030	-0.001600
 0.5377	 0.001632	 0.008377	-0.024586	-0.110170	-0.001805
 0.5578	 0.001802	 0.008967	-0.026798	-0.115549	-0.002027
 0.5779	 0.001983	 0.009575	-0.029115	-0.121083	-0.002263
 0.5980	 0.002178	 0.010200	-0.031554	-0.126810	-0.002514
 0.6181	 0.002384	 0.010831	-0.034097	-0.132724	-0.002779
 0.6382	 0.002602	 0.011461	-0.036757	-0.138707	-0.003052
 0.6573	 0.002821	 0.012055	-0.039386	-0.144265	-0.003322
 0.6763	 0.003050	 0.012654	-0.042119	-0.149720	-0.003612
 0.6955	 0.003292	 0.013257	-0.044964	-0.154896	-0.003916
 0.7145	 0.003545	 0.013862	-0.047887	-0.159529	-0.004224
 0.7336	 0.003808	 0.014479	-0.050893	-0.163877	-0.004538
 0.7527	 0.004083	 0.015117	-0.053979	-0.168006	-0.004851
 0.7717	 0.004370	 0.015769	-0.057137	-0.171731	-0.005144
 0.8000	 0.004820	 0.016743	-0.061944	-0.176576	-0.005527
 0.8187	 0.005131	 0.017397	-0.065198	-0.179843	-0.005814
 0.8375	 0.005457	 0.018048	-0.068530	-0.183496	-0.006214
 0.8562	 0.005792	 0.018695	-0.071910	-0.186707	-0.006589
 0.8750	 0.006141	 0.019317	-0.075359	-0.189449	-0.006937
 0.8938	 0.006499	 0.019891	-0.078838	-0.191687	-0.007255
 0.9125	 0.006867	 0.020419	-0.082355	-0.193479	-0.007539
 0.9313	 0.007246	 0.020909	-0.085915	-0.194882	-0.007790
 0.9500	 0.007632	 0.021340	-0.089482	-0.195896	-0.007999
 0.9750	 0.008160	 0.021739	-0.094276	-0.196646	-0.008202
 0.9872	 0.008418	 0.021832	-0.096605	-0.196767	-0.008255
 0.9936	 0.008554	 0.021851	-0.097835	-0.196786	-0.008269
 0.9979	 0.008645	 0.021854	-0.098654	-0.196790	-0.008273
 1.0000	 0.008691	 0.021855	-0.099065	-0.196790	-0.008275


 -------- Mode No.   3  (freq = 0.17242E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0200	 0.000007	 0.000738	 0.000000	-0.000001	-0.000021
 0.0400	 0.000029	 0.001513	 0.000000	-0.000002	-0.000045
 0.0600	 0.000067	 0.002360	 0.000000	 0.000001	-0.000073
 0.0800	 0.000123	 0.003356	 0.000000	 0.000018	-0.000110
 0.1000	 0.000201	 0.004586	 0.000001	 0.000059	-0.000163
 0.1250	 0.000337	 0.006570	 0.000003	 0.000149	-0.000272
 0.1500	 0.000527	 0.009014	 0.000008	 0.000252	-0.000476
 0.1691	 0.000714	 0.011032	 0.000014	 0.000313	-0.000745
 0.1880	 0.000937	 0.013069	 0.000020	 0.000346	-0.001169
 0.2071	 0.001199	 0.015096	 0.000026	 0.000351	-0.001879
 0.2261	 0.001499	 0.017057	 0.000033	 0.000345	-0.003011
 0.2451	 0.001832	 0.018888	 0.000039	 0.000350	-0.004470
 0.2661	 0.002237	 0.020736	 0.000047	 0.000363	-0.006560
 0.2870	 0.002677	 0.022342	 0.000054	 0.000368	-0.009475
 0.3080	 0.003147	 0.023608	 0.000062	 0.000366	-0.012596
 0.3288	 0.003637	 0.024514	 0.000069	 0.000355	-0.015877
 0.3509	 0.004173	 0.025065	 0.000076	 0.000331	-0.019544
 0.3730	 0.004714	 0.025149	 0.000083	 0.000293	-0.023336
 0.3950	 0.005250	 0.024715	 0.000089	 0.000239	-0.027167
 0.4171	 0.005772	 0.023707	 0.000093	 0.000170	-0.030955
 0.4391	 0.006265	 0.022073	 0.000096	 0.000087	-0.034564
 0.4589	 0.006671	 0.020005	 0.000097	 0.000001	-0.037653
 0.4785	 0.007028	 0.017275	 0.000096	-0.000097	-0.040634
 0.4983	 0.007328	 0.013811	 0.000093	-0.000205	-0.043403
 0.5180	 0.007553	 0.009598	 0.000088	-0.000321	-0.045878
 0.5377	 0.007690	 0.004558	 0.000081	-0.000444	-0.048020
 0.5578	 0.007720	-0.001460	 0.000071	-0.000573	-0.049783
 0.5779	 0.007624	-0.008363	 0.000058	-0.000704	-0.051073
 0.5980	 0.007382	-0.016193	 0.000043	-0.000836	-0.051857
 0.6181	 0.006980	-0.024900	 0.000025	-0.000968	-0.052102
 0.6382	 0.006398	-0.034388	 0.000005	-0.001096	-0.051797
 0.6573	 0.005668	-0.044149	-0.000017	-0.001212	-0.050989
 0.6763	 0.004748	-0.054786	-0.000040	-0.001318	-0.049621
 0.6955	 0.003616	-0.066285	-0.000066	-0.001407	-0.047696
 0.7145	 0.002268	-0.078529	-0.000092	-0.001462	-0.045239
 0.7336	 0.000685	-0.091661	-0.000120	-0.001480	-0.042242
 0.7527	-0.001154	-0.105842	-0.000147	-0.001449	-0.038755
 0.7717	-0.003263	-0.120800	-0.000173	-0.001353	-0.034998
 0.8000	-0.006928	-0.143937	-0.000207	-0.001088	-0.029243
 0.8187	-0.009709	-0.160253	-0.000225	-0.000866	-0.024198
 0.8375	-0.012811	-0.177471	-0.000238	-0.000652	-0.016514
 0.8562	-0.016216	-0.194936	-0.000248	-0.000384	-0.008789
 0.8750	-0.019955	-0.212135	-0.000252	-0.000080	-0.001079
 0.8938	-0.023984	-0.228389	-0.000250	 0.000239	 0.006406
 0.9125	-0.028302	-0.243721	-0.000243	 0.000566	 0.013545
 0.9313	-0.032915	-0.258300	-0.000229	 0.000897	 0.020214
 0.9500	-0.037763	-0.271436	-0.000209	 0.001206	 0.026124
 0.9750	-0.044579	-0.284014	-0.000176	 0.001498	 0.032224
 0.9872	-0.047963	-0.287051	-0.000157	 0.001565	 0.033901
 0.9936	-0.049759	-0.287670	-0.000147	 0.001579	 0.034351
 0.9979	-0.050957	-0.287796	-0.000141	 0.001581	 0.034507
 1.0000	-0.051558	-0.287810	-0.000138	 0.001581	 0.034544


 -------- Mode No.   4  (freq = 0.20765E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0200	 0.000000	 0.000017	-0.000012	-0.001262	 0.000003
 0.0400	 0.000001	 0.000036	-0.000050	-0.002582	 0.000006
 0.0600	 0.000002	 0.000049	-0.000114	-0.003987	 0.000010
 0.0800	 0.000002	 0.000042	-0.000207	-0.005547	 0.000015
 0.1000	 0.000003	 0.000000	-0.000333	-0.007315	 0.000023
 0.1250	 0.000001	-0.000105	-0.000544	-0.009927	 0.000038
 0.1500	-0.000003	-0.000219	-0.000825	-0.013056	 0.000065
 0.1691	-0.000007	-0.000272	-0.001093	-0.015706	 0.000100
 0.1880	-0.000012	-0.000281	-0.001410	-0.018507	 0.000154
 0.2071	-0.000017	-0.000248	-0.001781	-0.021430	 0.000241
 0.2261	-0.000021	-0.000200	-0.002207	-0.024242	 0.000377
 0.2451	-0.000025	-0.000169	-0.002678	-0.026610	 0.000547
 0.2661	-0.000028	-0.000144	-0.003244	-0.028725	 0.000780
 0.2870	-0.000031	-0.000109	-0.003848	-0.030360	 0.001091
 0.3080	-0.000032	-0.000064	-0.004479	-0.031410	 0.001407
 0.3288	-0.000033	-0.000007	-0.005124	-0.031894	 0.001721
 0.3509	-0.000032	 0.000071	-0.005813	-0.031815	 0.002049
 0.3730	-0.000030	 0.000167	-0.006490	-0.031119	 0.002365
 0.3950	-0.000025	 0.000282	-0.007146	-0.029796	 0.002661
 0.4171	-0.000018	 0.000411	-0.007766	-0.027804	 0.002930
 0.4391	-0.000007	 0.000547	-0.008335	-0.025052	 0.003165
 0.4589	 0.000004	 0.000673	-0.008787	-0.021868	 0.003352
 0.4785	 0.000019	 0.000801	-0.009169	-0.017928	 0.003520
 0.4983	 0.000035	 0.000925	-0.009469	-0.013135	 0.003668
 0.5180	 0.000054	 0.001037	-0.009666	-0.007454	 0.003798
 0.5377	 0.000075	 0.001129	-0.009746	-0.000755	 0.003914
 0.5578	 0.000098	 0.001196	-0.009683	 0.007195	 0.004021
 0.5779	 0.000122	 0.001226	-0.009452	 0.016393	 0.004124
 0.5980	 0.000146	 0.001212	-0.009024	 0.027022	 0.004229
 0.6181	 0.000169	 0.001149	-0.008375	 0.039198	 0.004343
 0.6382	 0.000190	 0.001034	-0.007473	 0.052777	 0.004471
 0.6573	 0.000208	 0.000874	-0.006363	 0.066583	 0.004614
 0.6763	 0.000222	 0.000655	-0.004987	 0.081315	 0.004789
 0.6955	 0.000232	 0.000367	-0.003325	 0.096454	 0.005000
 0.7145	 0.000235	-0.000009	-0.001394	 0.111071	 0.005251
 0.7336	 0.000231	-0.000494	 0.000810	 0.125810	 0.005546
 0.7527	 0.000216	-0.001117	 0.003290	 0.140783	 0.005888
 0.7717	 0.000188	-0.001894	 0.006044	 0.155169	 0.006259
 0.8000	 0.000115	-0.003318	 0.010613	 0.175236	 0.006835
 0.8187	 0.000045	-0.004411	 0.013948	 0.189652	 0.007346
 0.8375	-0.000047	-0.005555	 0.017584	 0.206483	 0.008126
 0.8562	-0.000160	-0.006808	 0.021500	 0.221860	 0.008911
 0.8750	-0.000298	-0.008118	 0.025698	 0.235474	 0.009692
 0.8938	-0.000459	-0.009416	 0.030107	 0.246972	 0.010446
 0.9125	-0.000643	-0.010691	 0.034707	 0.256465	 0.011158
 0.9313	-0.000851	-0.011942	 0.039485	 0.264105	 0.011815
 0.9500	-0.001081	-0.013092	 0.044363	 0.269764	 0.012388
 0.9750	-0.001417	-0.014191	 0.051013	 0.274052	 0.012965
 0.9872	-0.001587	-0.014453	 0.054262	 0.274756	 0.013118
 0.9936	-0.001678	-0.014505	 0.055980	 0.274868	 0.013159
 0.9979	-0.001738	-0.014516	 0.057124	 0.274890	 0.013172
 1.0000	-0.001768	-0.014517	 0.057698	 0.274893	 0.013176


 -------- Mode No.   5  (freq = 0.34120E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0200	-0.000005	-0.000516	 0.000000	 0.000010	 0.000039
 0.0400	-0.000020	-0.001040	 0.000000	 0.000022	 0.000084
 0.0600	-0.000046	-0.001595	 0.000001	 0.000031	 0.000137
 0.0800	-0.000083	-0.002220	 0.000002	 0.000032	 0.000205
 0.1000	-0.000134	-0.002955	 0.000002	 0.000021	 0.000303
 0.1250	-0.000220	-0.004063	 0.000002	-0.000011	 0.000504
 0.1500	-0.000335	-0.005306	 0.000001	-0.000041	 0.000879
 0.1691	-0.000442	-0.006226	 0.000001	-0.000049	 0.001370
 0.1880	-0.000565	-0.007048	 0.000000	-0.000043	 0.002143
 0.2071	-0.000703	-0.007739	-0.000001	-0.000023	 0.003425
 0.2261	-0.000852	-0.008258	-0.000001	 0.000000	 0.005453
 0.2451	-0.001008	-0.008567	-0.000001	 0.000019	 0.008041
 0.2661	-0.001184	-0.008637	 0.000000	 0.000040	 0.011704
 0.2870	-0.001359	-0.008388	 0.000001	 0.000064	 0.016731
 0.3080	-0.001524	-0.007814	 0.000002	 0.000091	 0.022004
 0.3288	-0.001675	-0.006913	 0.000005	 0.000122	 0.027407
 0.3509	-0.001810	-0.005582	 0.000008	 0.000159	 0.033256
 0.3730	-0.001912	-0.003864	 0.000011	 0.000198	 0.039072
 0.3950	-0.001973	-0.001761	 0.000016	 0.000238	 0.044682
 0.4171	-0.001984	 0.000703	 0.000022	 0.000275	 0.049933
 0.4391	-0.001939	 0.003483	 0.000028	 0.000304	 0.054627
 0.4589	-0.001846	 0.006231	 0.000034	 0.000320	 0.058369
 0.4785	-0.001697	 0.009211	 0.000040	 0.000326	 0.061717
 0.4983	-0.001489	 0.012360	 0.000046	 0.000318	 0.064570
 0.5180	-0.001221	 0.015548	 0.000052	 0.000293	 0.066879
 0.5377	-0.000891	 0.018686	 0.000057	 0.000248	 0.068660
 0.5578	-0.000495	 0.021682	 0.000062	 0.000181	 0.069938
 0.5779	-0.000043	 0.024300	 0.000064	 0.000090	 0.070730
 0.5980	 0.000457	 0.026370	 0.000065	-0.000027	 0.071121
 0.6181	 0.000988	 0.027691	 0.000063	-0.000169	 0.071213
 0.6382	 0.001536	 0.028074	 0.000058	-0.000332	 0.071124
 0.6573	 0.002052	 0.027411	 0.000050	-0.000499	 0.070990
 0.6763	 0.002546	 0.025565	 0.000039	-0.000675	 0.070921
 0.6955	 0.002995	 0.022348	 0.000025	-0.000849	 0.071048
 0.7145	 0.003368	 0.017618	 0.000008	-0.001002	 0.071512
 0.7336	 0.003636	 0.011154	-0.000012	-0.001130	 0.072460
 0.7527	 0.003765	 0.002685	-0.000034	-0.001221	 0.074006
 0.7717	 0.003717	-0.007790	-0.000057	-0.001245	 0.076167
 0.8000	 0.003236	-0.026800	-0.000090	-0.001134	 0.080480
 0.8187	 0.002605	-0.042086	-0.000109	-0.000987	 0.085138
 0.8375	 0.001669	-0.059648	-0.000126	-0.000828	 0.093019
 0.8562	 0.000399	-0.078858	-0.000139	-0.000576	 0.101604
 0.8750	-0.001239	-0.099114	-0.000146	-0.000245	 0.110835
 0.8938	-0.003243	-0.119482	-0.000147	 0.000140	 0.120421
 0.9125	-0.005621	-0.139792	-0.000140	 0.000568	 0.130133
 0.9313	-0.008384	-0.160080	-0.000125	 0.001030	 0.139712
 0.9500	-0.011498	-0.179159	-0.000102	 0.001483	 0.148632
 0.9750	-0.016157	-0.198170	-0.000059	 0.001930	 0.158299
 0.9872	-0.018537	-0.202926	-0.000035	 0.002037	 0.161062
 0.9936	-0.019809	-0.203910	-0.000022	 0.002058	 0.161814
 0.9979	-0.020659	-0.204110	-0.000014	 0.002062	 0.162074
 1.0000	-0.021085	-0.204133	-0.000009	 0.002063	 0.162136


 -------- Mode No.   6  (freq = 0.42941E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0200	 0.000000	 0.000048	 0.000000	-0.000019	 0.000019
 0.0400	 0.000002	 0.000096	-0.000001	-0.000037	 0.000040
 0.0600	 0.000004	 0.000147	-0.000002	-0.000056	 0.000065
 0.0800	 0.000008	 0.000205	-0.000003	-0.000075	 0.000097
 0.1000	 0.000012	 0.000273	-0.000005	-0.000094	 0.000144
 0.1250	 0.000020	 0.000375	-0.000007	-0.000118	 0.000241
 0.1500	 0.000031	 0.000492	-0.000010	-0.000144	 0.000423
 0.1691	 0.000041	 0.000582	-0.000013	-0.000163	 0.000665
 0.1880	 0.000053	 0.000665	-0.000016	-0.000181	 0.001053
 0.2071	 0.000066	 0.000740	-0.000020	-0.000195	 0.001711
 0.2261	 0.000080	 0.000803	-0.000024	-0.000203	 0.002776
 0.2451	 0.000095	 0.000853	-0.000027	-0.000203	 0.004174
 0.2661	 0.000113	 0.000891	-0.000032	-0.000193	 0.006222
 0.2870	 0.000132	 0.000909	-0.000035	-0.000174	 0.009153
 0.3080	 0.000150	 0.000906	-0.000039	-0.000147	 0.012383
 0.3288	 0.000168	 0.000885	-0.000041	-0.000114	 0.015893
 0.3509	 0.000187	 0.000840	-0.000043	-0.000071	 0.019979
 0.3730	 0.000204	 0.000774	-0.000044	-0.000021	 0.024415
 0.3950	 0.000220	 0.000687	-0.000044	 0.000034	 0.029163
 0.4171	 0.000234	 0.000580	-0.000043	 0.000094	 0.034193
 0.4391	 0.000245	 0.000455	-0.000040	 0.000159	 0.039393
 0.4589	 0.000252	 0.000327	-0.000036	 0.000221	 0.044271
 0.4785	 0.000257	 0.000182	-0.000031	 0.000285	 0.049481
 0.4983	 0.000259	 0.000024	-0.000025	 0.000350	 0.054942
 0.5180	 0.000258	-0.000145	-0.000018	 0.000412	 0.060592
 0.5377	 0.000254	-0.000321	-0.000010	 0.000471	 0.066456
 0.5578	 0.000245	-0.000504	 0.000000	 0.000523	 0.072569
 0.5779	 0.000234	-0.000685	 0.000011	 0.000564	 0.078783
 0.5980	 0.000219	-0.000857	 0.000022	 0.000588	 0.085109
 0.6181	 0.000200	-0.001011	 0.000034	 0.000590	 0.091475
 0.6382	 0.000179	-0.001138	 0.000045	 0.000564	 0.097711
 0.6573	 0.000157	-0.001224	 0.000055	 0.000508	 0.103565
 0.6763	 0.000134	-0.001269	 0.000064	 0.000420	 0.109528
 0.6955	 0.000110	-0.001258	 0.000071	 0.000298	 0.115412
 0.7145	 0.000087	-0.001180	 0.000075	 0.000151	 0.121043
 0.7336	 0.000067	-0.001022	 0.000076	-0.000028	 0.126390
 0.7527	 0.000050	-0.000766	 0.000073	-0.000241	 0.131358
 0.7717	 0.000039	-0.000405	 0.000067	-0.000475	 0.135682
 0.8000	 0.000038	 0.000325	 0.000048	-0.000853	 0.140767
 0.8187	 0.000050	 0.000952	 0.000030	-0.001158	 0.144141
 0.8375	 0.000074	 0.001697	 0.000005	-0.001539	 0.148430
 0.8562	 0.000113	 0.002537	-0.000027	-0.001913	 0.152112
 0.8750	 0.000168	 0.003450	-0.000065	-0.002268	 0.155236
 0.8938	 0.000240	 0.004391	-0.000109	-0.002587	 0.157792
 0.9125	 0.000330	 0.005353	-0.000159	-0.002868	 0.159822
 0.9313	 0.000437	 0.006338	-0.000214	-0.003107	 0.161377
 0.9500	 0.000563	 0.007289	-0.000273	-0.003296	 0.162493
 0.9750	 0.000755	 0.008268	-0.000356	-0.003450	 0.163393
 0.9872	 0.000855	 0.008527	-0.000397	-0.003477	 0.163574
 0.9936	 0.000908	 0.008584	-0.000419	-0.003482	 0.163609
 0.9979	 0.000944	 0.008596	-0.000433	-0.003483	 0.163617
 1.0000	 0.000962	 0.008597	-0.000440	-0.003483	 0.163617


 -------- Mode No.   7  (freq = 0.44204E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0200	 0.000000	 0.000041	 0.000011	 0.001060	 0.000008
 0.0400	 0.000002	 0.000080	 0.000042	 0.002128	 0.000017
 0.0600	 0.000004	 0.000128	 0.000094	 0.003216	 0.000027
 0.0800	 0.000007	 0.000198	 0.000168	 0.004361	 0.000041
 0.1000	 0.000012	 0.000302	 0.000266	 0.005582	 0.000061
 0.1250	 0.000021	 0.000480	 0.000423	 0.007231	 0.000104
 0.1500	 0.000035	 0.000663	 0.000621	 0.008967	 0.000188
 0.1691	 0.000049	 0.000773	 0.000800	 0.010221	 0.000305
 0.1880	 0.000064	 0.000848	 0.000999	 0.011314	 0.000500
 0.2071	 0.000080	 0.000892	 0.001218	 0.012160	 0.000844
 0.2261	 0.000097	 0.000916	 0.001449	 0.012618	 0.001423
 0.2451	 0.000114	 0.000919	 0.001683	 0.012612	 0.002216
 0.2661	 0.000132	 0.000891	 0.001936	 0.012086	 0.003431
 0.2870	 0.000150	 0.000826	 0.002173	 0.011003	 0.005254
 0.3080	 0.000166	 0.000724	 0.002382	 0.009451	 0.007356
 0.3288	 0.000179	 0.000589	 0.002555	 0.007494	 0.009746
 0.3509	 0.000190	 0.000412	 0.002691	 0.004986	 0.012653
 0.3730	 0.000197	 0.000207	 0.002767	 0.002073	 0.015947
 0.3950	 0.000199	-0.000016	 0.002777	-0.001171	 0.019608
 0.4171	 0.000196	-0.000245	 0.002713	-0.004724	 0.023620
 0.4391	 0.000188	-0.000463	 0.002570	-0.008590	 0.027889
 0.4589	 0.000177	-0.000641	 0.002369	-0.012260	 0.031982
 0.4785	 0.000164	-0.000798	 0.002097	-0.016063	 0.036427
 0.4983	 0.000147	-0.000921	 0.001750	-0.019918	 0.041140
 0.5180	 0.000128	-0.001000	 0.001331	-0.023671	 0.046053
 0.5377	 0.000109	-0.001025	 0.000840	-0.027201	 0.051172
 0.5578	 0.000089	-0.000989	 0.000275	-0.030370	 0.056509
 0.5779	 0.000071	-0.000886	-0.000346	-0.032882	 0.061917
 0.5980	 0.000055	-0.000717	-0.001011	-0.034474	 0.067391
 0.6181	 0.000043	-0.000483	-0.001692	-0.034809	 0.072859
 0.6382	 0.000036	-0.000194	-0.002364	-0.033529	 0.078168
 0.6573	 0.000036	 0.000127	-0.002961	-0.030590	 0.083108
 0.6763	 0.000042	 0.000490	-0.003487	-0.025748	 0.088098
 0.6955	 0.000054	 0.000880	-0.003906	-0.019016	 0.092985
 0.7145	 0.000074	 0.001272	-0.004185	-0.010819	 0.097638
 0.7336	 0.000102	 0.001641	-0.004294	-0.000862	 0.102049
 0.7527	 0.000135	 0.001952	-0.004200	 0.010946	 0.106164
 0.7717	 0.000174	 0.002146	-0.003876	 0.023876	 0.109788
 0.8000	 0.000233	 0.002136	-0.002927	 0.044488	 0.114189
 0.8187	 0.000271	 0.001941	-0.001960	 0.061038	 0.117278
 0.8375	 0.000304	 0.001666	-0.000646	 0.081800	 0.121406
 0.8562	 0.000330	 0.001183	 0.001038	 0.102011	 0.125143
 0.8750	 0.000345	 0.000514	 0.003089	 0.120951	 0.128529
 0.8938	 0.000347	-0.000295	 0.005458	 0.137785	 0.131523
 0.9125	 0.000333	-0.001217	 0.008114	 0.152327	 0.134131
 0.9313	 0.000301	-0.002232	 0.011027	 0.164500	 0.136361
 0.9500	 0.000250	-0.003242	 0.014124	 0.173826	 0.138179
 0.9750	 0.000155	-0.004255	 0.018477	 0.181116	 0.139901
 0.9872	 0.000103	-0.004499	 0.020630	 0.182345	 0.140328
